"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Physical.Processor","Clock.Speed","Memory","Storage","Network.Performance","Processor.Architecture","Storage.Media","Volume.Type","Max.Volume.Size","Max.IOPS.volume","Max.IOPS.Burst.Performance","Max.throughput.volume","Provisioned","Tenancy","EBS.Optimized","Operating.System","License.Model","Group","Group.Description","Transfer.Type","From.Location","From.Location.Type","To.Location","To.Location.Type","usageType","operation","Comments","Dedicated.EBS.Throughput","ECU","Enhanced.Networking.Supported","GPU","Instance.Capacity...10xlarge","Instance.Capacity...16xlarge","Instance.Capacity...2xlarge","Instance.Capacity...32xlarge","Instance.Capacity...4xlarge","Instance.Capacity...8xlarge","Instance.Capacity...large","Instance.Capacity...medium","Instance.Capacity...xlarge","Intel.AVX.Available","Intel.AVX2.Available","Intel.Turbo.Available","Normalization.Size.Factor","Physical.Cores","Pre.Installed.S.W","Processor.Features","serviceName","Region","Endpoint","Protocol"
"1","Asia Pacific (Mumbai)","E6GDY5BCW9DUX2XE","HU7G6KETJZ","E6GDY5BCW9DUX2XE.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), p2.16xlarge reserved instance applied","2017-07-31",0,Inf,"Hrs",9.838,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","p2.16xlarge","Yes","GPU instance",64,"Intel Xeon E5-2686 v4 (Broadwell)","","768 GiB","EBS only","20 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:p2.16xlarge","RunInstances","","","188","",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",128,NA,NA,"","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"2","Asia Pacific (Mumbai)","Q3DWV2ZGENHRB735","HU7G6KETJZ","Q3DWV2ZGENHRB735.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-07-31",NA,NA,"Quantity",86177,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","p2.16xlarge","Yes","GPU instance",64,"Intel Xeon E5-2686 v4 (Broadwell)","","768 GiB","EBS only","20 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:p2.16xlarge","RunInstances","","","188","",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",128,NA,NA,"","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"3","Asia Pacific (Mumbai)","253W4ZTWJQVEP9BX","HU7G6KETJZ","253W4ZTWJQVEP9BX.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",342,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","c4.large","Yes","Compute optimized",2,"Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","3.75 GiB","EBS only","Moderate","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:c4.large","RunInstances","","500 Mbps","8","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"4","Asia Pacific (Mumbai)","6WEWVSQQNNN97J84","HU7G6KETJZ","6WEWVSQQNNN97J84.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",NA,NA,"Quantity",17399,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","i2.8xlarge","No","Storage optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","8 x 800 SSD","10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:i2.8xlarge","RunInstances","","","104","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"5","Asia Pacific (Mumbai)","H6K6YWPJMXZE4QSK","HU7G6KETJZ","H6K6YWPJMXZE4QSK.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-02-28",NA,NA,"Quantity",439,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.large","Yes","Memory optimized",2,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","15.25 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r4.large","RunInstances","","400 Mbps","135","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"6","Asia Pacific (Mumbai)","JQKF65J6237E3TH8","HU7G6KETJZ","JQKF65J6237E3TH8.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-03-31",NA,NA,"Quantity",7030,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","244 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r4.8xlarge","RunInstances","","6000 Mbps","7","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"7","Asia Pacific (Mumbai)","Q9C9P99FBFT9WJRG","HU7G6KETJZ","Q9C9P99FBFT9WJRG.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-05-31",NA,NA,"Quantity",1188,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r3.xlarge","Yes","Memory optimized",4,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 80 SSD","Moderate","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r3.xlarge","RunInstances","","","13","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"8","Asia Pacific (Mumbai)","5N383TJKMC5FSCKD","HU7G6KETJZ","5N383TJKMC5FSCKD.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-05-31",NA,NA,"Quantity",8646,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:r3.8xlarge","RunInstances","","","104","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"9","Asia Pacific (Mumbai)","ZVMAFPQR3NKB6VVP","HU7G6KETJZ","ZVMAFPQR3NKB6VVP.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), m4.2xlarge reserved instance applied","2017-04-30",0,Inf,"Hrs",0.146,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.2xlarge","Yes","General purpose",8,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","32 GiB","EBS only","High","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:m4.2xlarge","RunInstances","","1000 Mbps","26","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",16,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"10","Asia Pacific (Mumbai)","QRFEPGVXKEWT5CQM","HU7G6KETJZ","QRFEPGVXKEWT5CQM.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-04-30",NA,NA,"Quantity",10232,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.16xlarge","Yes","General purpose",64,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","256 GiB","EBS only","20 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:m4.16xlarge","RunInstances","","10000 Mbps","188","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",128,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
