"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Memory","Network.Performance","Cache.Engine","Storage.Media","Group","Group.Description","usageType","operation","Region","Endpoint","Protocol"
"1","Asia Pacific (Mumbai)","H2T225SWPBPB2XNB","YTVHEVGPBZ","H2T225SWPBPB2XNB.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.t2.medium instance-hours used this month","2016-09-30",0,Inf,"Hrs",0.045561,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.t2.medium","Yes","Standard",2,"3.22 GiB","Low to Moderate","Redis","","","","APS3-NodeUsage:cache.t2.medium","CreateCacheCluster:0002","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"2","Asia Pacific (Mumbai)","Z4AXR5NW9A6CEEA9","YTVHEVGPBZ","Z4AXR5NW9A6CEEA9.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.r3.2xlarge instance-hours used this month","2016-09-30",0,Inf,"Hrs",0.394325,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.2xlarge","Yes","Memory optimized",8,"58.2 GiB","High","Redis","","","","APS3-NodeUsage:cache.r3.2xlarge","CreateCacheCluster:0002","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"3","Asia Pacific (Mumbai)","ERPBKDFT6AHAWCJ2","YTVHEVGPBZ","ERPBKDFT6AHAWCJ2.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.r3.xlarge instance-hours used this month","2016-09-30",0,Inf,"Hrs",0.196512,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.xlarge","Yes","Memory optimized",4,"28.4 GiB","Moderate","Redis","","","","APS3-NodeUsage:cache.r3.xlarge","CreateCacheCluster:0002","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"4","Asia Pacific (Mumbai)","VQVRYK37UGVYBUZ3","YTVHEVGPBZ","VQVRYK37UGVYBUZ3.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",NA,NA,"Quantity",1771,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.2xlarge","Yes","Standard",8,"29.7 GiB","High","Redis","","","","APS3-NodeUsage:cache.m4.2xlarge","CreateCacheCluster:0002","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"5","Asia Pacific (Mumbai)","ERPBKDFT6AHAWCJ2","YTVHEVGPBZ","ERPBKDFT6AHAWCJ2.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",NA,NA,"Quantity",1080,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.xlarge","Yes","Memory optimized",4,"28.4 GiB","Moderate","Redis","","","","APS3-NodeUsage:cache.r3.xlarge","CreateCacheCluster:0002","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"6","Asia Pacific (Mumbai)","Z9W4SB7S483R72KG","YTVHEVGPBZ","Z9W4SB7S483R72KG.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m4.10xlarge instance-hours used this month","2016-09-30",0,Inf,"Hrs",1.617,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.10xlarge","Yes","Standard",40,"154.64 GiB","10 Gigabit","Memcached","","","","APS3-NodeUsage:cache.m4.10xlarge","CreateCacheCluster:0001","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"7","Asia Pacific (Mumbai)","JWZ8YDWGV4RVC7KU","YTVHEVGPBZ","JWZ8YDWGV4RVC7KU.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-07-31",NA,NA,"Quantity",442,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.large","Yes","Standard",2,"6.42 GiB","Moderate","Memcached","","","","APS3-NodeUsage:cache.m4.large","CreateCacheCluster:0001","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"8","Asia Pacific (Mumbai)","YEQSPWXCVGEXUUYM","YTVHEVGPBZ","YEQSPWXCVGEXUUYM.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.t2.micro instance-hours used this month","2016-05-31",0,Inf,"Hrs",0.011122,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.t2.micro","Yes","Standard",1,"0.555 GiB","Low to Moderate","Memcached","","","","APS3-NodeUsage:cache.t2.micro","CreateCacheCluster:0001","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"9","Asia Pacific (Mumbai)","DWTQFNVT8HB7UEBF","YTVHEVGPBZ","DWTQFNVT8HB7UEBF.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-05-31",NA,NA,"Quantity",542,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.large","Yes","Memory optimized",2,"13.5 GiB","Moderate","Redis","","","","APS3-NodeUsage:cache.r3.large","CreateCacheCluster:0002","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"10","Asia Pacific (Mumbai)","QMSAAB37UJD6ZX3P","YTVHEVGPBZ","QMSAAB37UJD6ZX3P.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m4.xlarge instance-hours used this month","2016-09-30",0,Inf,"Hrs",0.162,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.xlarge","Yes","Standard",4,"14.28 GiB","High","Memcached","","","","APS3-NodeUsage:cache.m4.xlarge","CreateCacheCluster:0001","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
