"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Group","Group Description","usageType","operation"
"37ATVE8PQAUQTCYZ","VG8YD49WWM","37ATVE8PQAUQTCYZ.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","9870","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Seoul)","AWS Region","cache.r3.4xlarge","Yes","Memory optimized","16","118 GiB","High","Redis",,,,"APN2-NodeUsage:cache.r3.4xlarge","CreateCacheCluster:0002"
"BWBJAC8H45JBERA8","KGRZ3REEDN","BWBJAC8H45JBERA8.KGRZ3REEDN.6YS6EN2CT7","Reserved","USD 0.172 per Redis, cache.m1.xlarge instance-hour (or partial hour)","2015-11-30","0","Inf","Hrs","0.1720000000","USD",,"3yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m1.xlarge","No","Standard","4","14.6 GiB","High","Redis",,,,"APS1-NodeUsage:cache.m1.xlarge","CreateCacheCluster:0002"
"M7NFTB9Y2QASVSNQ","VG8YD49WWM","M7NFTB9Y2QASVSNQ.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","436","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.t2.medium","Yes","Standard","2","3.22 GiB","Low to Moderate","Memcached",,,,"USW2-NodeUsage:cache.t2.medium","CreateCacheCluster:0001"
"HBRQZSXXSY2DXJ77","YTVHEVGPBZ","HBRQZSXXSY2DXJ77.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","1948","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m3.2xlarge","Yes","Standard","8","27.9 GiB","High","Memcached",,,,"APN1-NodeUsage:cache.m3.2xlarge","CreateCacheCluster:0001"
"WXKW7QBYRQUKBB5V","VG8YD49WWM","WXKW7QBYRQUKBB5V.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","2066","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.r3.xlarge","Yes","Memory optimized","4","28.4 GiB","Moderate","Redis",,,,"NodeUsage:cache.r3.xlarge","CreateCacheCluster:0002"
"YABJESQUEGAUDF78","DK9W8XRWES","YABJESQUEGAUDF78.DK9W8XRWES.6YS6EN2CT7","Reserved","USD 0.775 per Redis, cache.m2.4xlarge instance-hour (or partial hour)","2015-11-30","0","Inf","Hrs","0.7750000000","USD",,"1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m2.4xlarge","No","Memory optimized","8","68 GiB","High","Redis",,,,"APN1-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0002"
"NDKE5VTSATWKXTBE","JRTCKXETXF","NDKE5VTSATWKXTBE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.795 per  Enhanced Double Extra Large Cache node-hour (or partial hour) running Redis","2016-11-01","0","Inf","Hrs","0.7950000000","USD",,,,,"Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.m3.2xlarge","Yes","Standard","8","27.9 GiB","High","Redis",,,,"USW1-NodeUsage:cache.m3.2xlarge","CreateCacheCluster:0002"
"MRPXXDKFV4HS6PKX","YTVHEVGPBZ","MRPXXDKFV4HS6PKX.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","2790","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.r3.2xlarge","Yes","Memory optimized","8","58.2 GiB","High","Memcached",,,,"USW1-NodeUsage:cache.r3.2xlarge","CreateCacheCluster:0001"
"BZV2BAWWVD4VWJN3","VHSX6N8RTZ","BZV2BAWWVD4VWJN3.VHSX6N8RTZ.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","142","USD",,"3yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m1.medium","No","Standard","1","3.35 GiB","Moderate","Redis",,,,"APS1-NodeUsage:cache.m1.medium","CreateCacheCluster:0002"
"CJKZ5DWGA6G46U2P","VG8YD49WWM","CJKZ5DWGA6G46U2P.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","1773","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m4.xlarge","Yes","Standard","4","14.28 GiB","High","Redis",,,,"APN1-NodeUsage:cache.m4.xlarge","CreateCacheCluster:0002"
