Region Name,Region,Endpoint,Protocol
US East (N. Virginia),us-east-1,ec2.us-east-1.amazonaws.com,HTTP and HTTPS
US East (Ohio),us-east-2,ec2.us-east-2.amazonaws.com,HTTP and HTTPS
US West (N. California),us-west-1,ec2.us-west-1.amazonaws.com,HTTP and HTTPS
US West (Oregon),us-west-2,ec2.us-west-2.amazonaws.com,HTTP and HTTPS
Canada (Central),ca-central-1,ec2.ca-central-1.amazonaws.com,HTTP and HTTPS
Asia Pacific (Mumbai),ap-south-1,ec2.ap-south-1.amazonaws.com,HTTP and HTTPS
Asia Pacific (Seoul),ap-northeast-2,ec2.ap-northeast-2.amazonaws.com,HTTP and HTTPS
Asia Pacific (Singapore),ap-southeast-1,ec2.ap-southeast-1.amazonaws.com,HTTP and HTTPS
Asia Pacific (Sydney),ap-southeast-2,ec2.ap-southeast-2.amazonaws.com,HTTP and HTTPS
Asia Pacific (Tokyo),ap-northeast-1,ec2.ap-northeast-1.amazonaws.com,HTTP and HTTPS
EU (Frankfurt),eu-central-1,ec2.eu-central-1.amazonaws.com,HTTP and HTTPS
EU (Ireland),eu-west-1,ec2.eu-west-1.amazonaws.com,HTTP and HTTPS
EU (London),eu-west-2,ec2.eu-west-2.amazonaws.com,HTTP and HTTPS
South America (São Paulo),sa-east-1,ec2.sa-east-1.amazonaws.com,HTTP and HTTPS
